DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
PK201700000079,PK,2017.00000000000,79.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,31.95400094920,70.34753404600,9999.00000000000,9999.00000000000,WGS84
PK201700000080,PK,2017.00000000000,80.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,31.84390801980,70.89696951430,9999.00000000000,9999.00000000000,WGS84
PK201700000081,PK,2017.00000000000,81.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,31.79581581110,70.89676859430,9999.00000000000,9999.00000000000,WGS84
PK201700000082,PK,2017.00000000000,82.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,31.59497816710,70.82347219280,9999.00000000000,9999.00000000000,WGS84
PK201700000083,PK,2017.00000000000,83.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,R,32.17187302580,70.25096508110,9999.00000000000,9999.00000000000,WGS84
PK201700000084,PK,2017.00000000000,84.00000000000,PK,NULL,NULL,NULL,NULL,3.00000000000,KHYBER PAKHTUNKHWA,3.00000000000,kpk,GPS,U,32.22370924770,70.37569243730,9999.00000000000,9999.00000000000,WGS84
PK201700000085,PK,2017.00000000000,85.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,33.86843989770,72.76464533560,9999.00000000000,9999.00000000000,WGS84
PK201700000086,PK,2017.00000000000,86.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,33.16423278430,72.11266812860,9999.00000000000,9999.00000000000,WGS84
PK201700000087,PK,2017.00000000000,87.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,U,33.49694454010,71.95326723640,9999.00000000000,9999.00000000000,WGS84
PK201700000088,PK,2017.00000000000,88.00000000000,PK,NULL,NULL,NULL,NULL,1.00000000000,PUNJAB,1.00000000000,punjab,GPS,R,33.30569053930,73.21318314880,9999.00000000000,9999.00000000000,WGS84
